id,zipcode,Influencer
508,91104,No
509,91413,Unknown
510,91730,No
511,93555,No
512,92122,No
513,91335,Yes
514,10006,No
515,91311,No
516,79915,No
517,92404,No
518,91304,No
519,97401,No
520,90047,No
521,98042,Yes
522,11208,No
523,10469,No
524,90011,No
525,89431,No
526,95817,No
527,10024,Yes
528,94066,No
529,95242,No
530,93561,No
531,95118,Yes
532,92543,No
533,92646,No
534,10013,Yes
535,90011,No
536,10456,Unknown
537,95819,Yes
538,93001,Unknown
539,90017,Yes
540,90034,Yes
541,92660,No
542,10002,Yes
543,10006,No
544,91792,No
545,11235,No
546,91360,No
547,89131,No
548,91706,Yes
549,91932,No
550,94610,No
551,91316,No
552,11213,No
553,91343,Yes
554,98445,No
555,10466,No
556,97302,No
557,95051,No
558,97477,No
559,91741,No
560,90502,No
561,92234,No
562,38119,Unknown
563,11433,Unknown
564,92882,Yes
565,96789,No
566,11212,No
567,90710,Yes
568,92544,Yes
569,90001,Yes
570,98059,Yes
571,90005,No
572,11210,No
573,91304,No
574,97220,No
575,95492,Unknown
576,29464,No
577,29418,No
578,94112,No
579,11379,No
580,98052,No
581,94080,No
582,92069,No
583,85367,No
584,94086,No
585,10019,No
586,89120,No
587,89436,No
588,92071,No
589,97217,No
590,10012,No
591,91306,No
592,96826,Unknown
593,92314,No
594,98125,No
595,96817,No
596,93534,No
597,91745,No
598,96701,No
599,11418,Yes
600,90001,No
601,93306,No
602,11434,No
603,92505,Yes
604,92562,No
605,98387,No
606,11377,No
607,90033,Yes
608,94607,No
609,10001,Yes
610,90009,Yes
611,10011,No
612,10003,Yes
613,10001,Yes
614,90025,Yes
615,90002,No
616,10003,Yes
617,91301,Yes
618,10011,No
619,94103,No
620,91316,No
621,10002,Yes
622,91767,No
623,10003,Yes
624,10467,No
625,92392,No
626,89108,No
627,11362,No
628,93309,No
629,89142,No
630,98520,No
631,11223,No
632,93534,No
633,95457,No
634,38107,No
635,10025,No
636,92805,No
637,38125,No
638,10004,No
639,91765,No
640,10013,No
641,10027,No
642,90047,Yes
643,93555,Yes
644,10467,No
645,00949,No
646,00957,No
647,00687,No
648,00627,Yes
649,00623,Yes
650,00739,No
651,00782,Yes
652,00729,No
653,00605,No
654,00674,Unknown
655,00739,Yes
656,00727,Yes
657,00680,No
658,00685,Yes
659,00729,No
660,00917,No
661,00624,Yes
662,00949,Yes
663,00757,Yes
664,00685,No
665,00738,No
666,11207,Yes
667,79923,No
668,98408,No
669,89103,No
670,95670,No
671,10019,No
672,95212,No
673,93722,No
674,94134,Yes
675,10067,No
676,95203,No
677,90001,No
678,92831,No
679,97306,No
680,92844,No
681,90017,Yes
682,11226,No
683,11414,No
684,90011,Yes
685,10467,Yes
686,92056,No
687,95020,Yes
688,89101,No
689,38127,No
690,90043,Yes
691,11201,No
692,11210,Unknown
693,96786,No
694,97439,No
695,93727,No
696,11102,No
697,97303,No
698,11385,No
699,94531,Yes
700,10802,Yes
701,11226,No
702,89108,No
703,10003,No
704,11433,No
705,10467,No
706,89130,No
707,89005,No
708,98052,No
709,96825,No
710,97080,No
711,92869,No
712,93308,No
713,92545,No
714,91722,No
715,10467,No
716,96701,No
717,92882,No
718,00985,No
719,00637,Yes
720,00949,Yes
721,00667,Yes
722,89119,Yes
723,63116,No
724,00953,No
725,00676,No
726,00674,No
727,00603,Yes
728,00738,No
729,00901,No
730,00725,No
731,00698,No
732,00717,No
733,00683,Yes
734,11214,No
735,00956,No
736,00987,No
737,93551,No
738,00739,No
739,92009,Yes
740,10454,No
741,90805,No
742,89142,Yes
743,94578,No
744,96720,Unknown
745,94002,Yes
746,94538,No
747,91356,Yes
748,11372,No
749,89147,No
750,91006,No
751,92126,No
752,94134,No
753,91007,No
754,98034,No
755,94544,No
756,92114,Yes
757,89011,Yes
758,95129,No
759,91754,Yes
760,95835,No
761,95843,No
762,90066,No
763,11421,No
764,89113,No
765,94601,No
766,91803,No
767,89129,No
768,96789,No
769,96813,No
770,91402,No
771,89115,No
772,92591,Yes
773,94928,Yes
774,98499,No
775,91010,No
776,96792,No
777,94112,Yes
778,96720,Yes
779,90063,No
780,91605,Yes
781,95382,No
782,94123,No
783,10039,Yes
784,11373,No
785,90242,No
786,93703,No
787,94531,No
788,11204,Yes
789,94537,Yes
790,92592,No
791,93906,Unknown
792,96815,No
793,92113,Yes
794,93702,Yes
795,96797,No
796,94565,No
797,94112,Yes
798,92104,No
799,95630,No
800,90710,No
801,94404,No
802,92081,Yes
803,10080,No
804,92345,No
805,10010,Yes
806,94080,No
807,10001,No
808,10128,No
809,10028,No
810,90011,Yes
811,95120,No
812,95207,No
813,90002,Yes
814,10001,Yes
815,10001,Yes
816,10451,No
817,10001,Yes
818,92024,No
819,90011,No
820,98360,No
821,95237,No
822,11236,No
823,90001,Yes
824,93004,No
825,11358,No
826,90001,No
827,92020,No
828,95815,Yes
829,90001,Yes
830,95820,No
831,29466,No
832,94015,No
833,90017,Yes
834,89109,No
835,98101,No
836,95367,No
837,98004,Yes
838,10002,No
839,91910,No
840,10009,No
841,91352,Yes
842,91911,Yes
843,38112,No
844,98178,No
845,95831,No
846,97214,No
847,97459,No
848,89121,No
849,90210,No
850,89183,No
851,10461,Yes
852,89118,No
853,94203,No
854,95334,Yes
855,95020,Yes
856,10003,No
857,94805,No
858,94579,Yes
859,10027,No
860,10001,Yes
861,90011,No
862,90202,No
863,10122,No
864,79928,No
865,38122,No
866,90011,Yes
867,11207,No
868,92084,No
869,10469,No
870,10458,No
871,92585,No
872,91790,No
873,89109,No
874,93307,No
875,95928,No
876,11418,No
877,11224,No
878,90012,No
879,90804,No
880,10036,No
881,79936,No
882,92570,No
883,90037,No
884,79932,No
885,93004,No
886,98121,No
887,95135,No
888,92805,No
889,11432,No
890,10465,No
891,11691,No
892,90011,No
893,10002,No
894,96720,No
895,92675,Yes
896,92029,No
897,97504,No
898,95242,No
899,92883,No
900,98136,Yes
901,97530,No
902,89519,No
903,92646,Yes
904,38139,No
905,90220,No
906,38135,No
907,97439,Unknown
908,95482,Yes
909,92105,Yes
910,94582,No
911,79903,No
912,92014,No
913,98332,No
914,98422,No
915,95382,No
916,98126,Yes
917,92211,No
918,29466,No
919,95688,No
920,95136,Yes
921,95624,No
922,95501,No
923,89129,No
924,10023,No
925,92117,No
926,92833,No
927,96720,No
928,92078,No
929,90011,Yes
930,94587,No
931,91316,Yes
932,91316,Yes
933,94102,Yes
934,90033,No
935,92025,No
936,94116,No
937,93292,Yes
938,91330,Unknown
939,90023,No
940,93536,Yes
941,97501,No
942,92037,No
943,94601,No
944,92805,Yes
945,96744,No
946,92028,Yes
947,90015,Yes
948,92809,Yes
949,90740,No
950,95822,No
951,93291,Yes
952,93311,No
953,95334,No
954,95624,No
955,93001,No
956,98387,No
957,98374,No
958,95341,No
959,91342,Yes
960,98042,No
961,92399,No
962,90011,Yes
963,91775,Yes
964,90002,Yes
965,95207,Yes
966,93702,No
967,93955,Yes
968,97501,No
969,91950,Yes
970,93304,Yes
971,98042,No
972,92882,Yes
973,90033,No
974,94545,No
975,90017,No
976,95687,No
977,90005,Yes
978,98144,No
979,90017,Unknown
980,90001,Yes
981,90011,Yes
982,92124,No
983,93960,No
984,92399,No
985,92234,No
986,94103,Yes
987,91750,No
988,92284,No
989,95123,No
990,97539,No
991,63106,No
992,93021,No
993,90001,No
994,92563,No
995,91803,Yes
996,90631,No
997,95843,No
998,97215,No
999,90278,No
1000,91306,No
1001,92320,No
1002,91767,Yes
1003,92504,Unknown
1004,90003,Yes
1005,97305,No
1006,90703,No
1007,90043,No
1008,90011,Yes
1009,98408,Yes