Response,Criteria
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,Two
Yes,Two
Yes,Two
No,Two
Unknown,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
No,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
No,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
No,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Unknown,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
No,Two
No,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
No,Two
Yes,Two
No,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Two
Yes,Three
Yes,Three
Yes,Three
No,Three
No,Three
Yes,Three
No,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Unknown,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
No,Three
No,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
No,Three
Yes,Three
No,Three
No,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
No,Three
No,Three
Yes,Three
Yes,Three
Unknown,Three
No,Three
No,Three
Yes,Three
No,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
No,Three
No,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Unknown,Three
Yes,Three
No,Three
No,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
No,Three
Yes,Three
Yes,Three
Unknown,Three
Unknown,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Unknown,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Unknown,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Unknown,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
Unknown,Three
Yes,Three
No,Three
No,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
No,Three
No,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Unknown,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Unknown,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
No,Three
No,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
No,Three
No,Three
No,Three
Yes,Three
No,Three
Yes,Three
No,Three
Yes,Three
No,Three
No,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
No,Three
No,Three
Yes,Three
No,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Three
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
Yes,Four
No,Four
Yes,Four
Unknown,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
Yes,Four
Yes,Four
Unknown,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Unknown,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Unknown,Four
No,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Unknown,Four
Yes,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
Yes,Four
Unknown,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
Unknown,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
Unknown,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
Yes,Four
Unknown,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
Unknown,Four
Yes,Four
No,Four
Yes,Four
No,Four
Unknown,Four
No,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Yes,Four
Unknown,Four
Yes,Four
Yes,Four
Yes,Four
Yes,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
Unknown,Four
Unknown,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
Yes,Four
No,Four
Yes,Four
Yes,Four
Unknown,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
No,Four
Yes,Four
No,Four
Yes,Four